BuildingName;BuildingType;Latitude;Longitude;Neighborhood;YearBuilt;EPAPropertyType;LargestPropertyUseType;ComplianceStatus;ComplianceIssue
IVY COURT;Multifamily LR (1-4);47.54411;-122.38762;SOUTHWEST;1991;Multifamily LR (1-4);Multifamily Housing;Not Compliant;Default Data
MARNAE APTS;Multifamily LR (1-4);47.54365;-122.38766;SOUTHWEST;1960;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEABIRD CONDOMINIUM;Multifamily MR (5-9);47.5923;-122.38322;SOUTHWEST;1976;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SEABOARD BUILDING CONDOMINIUM;NonResidential;47.61056;-122.33661;DOWNTOWN;1909;Mixed Use Property;Office;Compliant;No Issue
CUMBERLAND APARTMENTS;Multifamily LR (1-4);47.54914;-122.38758;SOUTHWEST;1989;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEATTLE HEIGHTS CONDOMINIUM;Multifamily HR (10+);47.61633;-122.34894;DOWNTOWN;1993;Multifamily HR (10+);Multifamily Housing;Compliant;No Issue
APARTMENTS;Multifamily LR (1-4);47.59018;-122.31687;GREATER DUWAMISH;1963;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
4500 W MARGINAL WAY SW;NonResidential;47.56319;-122.35067;SHARED: GREATER DUWAMISH & DELRIDGE NEIGHBORHOODS;1997;Other - Utility;Other - Utility;Compliant;No Issue
FRASER BOILER SERVICE;NonResidential;47.57058;-122.35626;DELRIDGE NEIGHBORHOODS;1966;Other;Other;Compliant;No Issue
FRYE COMMERCE CENTER;NonResidential;47.56877;-122.36369;DELRIDGE NEIGHBORHOODS;1988;Office;Office;Compliant;No Issue
VIRGINIA MASON- BARONESS HOTEL;NonResidential;47.60958;-122.32646;EAST;1928;Hotel;Hotel;Compliant;No Issue
CHASSELTON APTS;Multifamily MR (5-9);47.60973;-122.32594;EAST;1925;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
VIRGINIA MASON- INN AT VIRGINIA MASON;NonResidential;47.60981;-122.32687;EAST;1928;Hotel;Hotel;Compliant;No Issue
VIET WAH SUPERMARKET AND SAIGON BISTRO RESTAURANT;NonResidential;47.59949;-122.31851;DOWNTOWN;1960;Mixed Use Property;Supermarket/Grocery Store;Compliant;No Issue
CSC Engineering (A);Nonresidential COS;47.5956;-122.32292;GREATER DUWAMISH;1973;Office;Office;Compliant;No Issue
1300 ALKI CONDOMINIUM;Multifamily MR (5-9);47.59296;-122.39038;SOUTHWEST;1996;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
1300 UNIVERSITY CONDOMINIUM;Multifamily HR (10+);47.61273;-122.32481;EAST;1980;Multifamily HR (10+);Multifamily Housing;Compliant;No Issue
3100 FAIRVIEW CONDOMINIUM;Multifamily LR (1-4);47.64934;-122.32396;LAKE UNION;1991;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
CARROLL TERRACE;Multifamily LR (1-4);47.62484;-122.3629;MAGNOLIA / QUEEN ANNE;1985;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PARKWING APTS;Multifamily LR (1-4);47.62526;-122.3629;MAGNOLIA / QUEEN ANNE;1967;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
WESTROY APTS;Multifamily MR (5-9);47.62575;-122.36296;MAGNOLIA / QUEEN ANNE;1930;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
MERCER CREST APT;Multifamily LR (1-4);47.62479;-122.36364;MAGNOLIA / QUEEN ANNE;1957;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
KINNEAR PARK CONDOMINIUM;Multifamily LR (1-4);47.62616;-122.36357;MAGNOLIA / QUEEN ANNE;1982;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
KINNEAR PLAZA CONDOMINIUM;Multifamily LR (1-4);47.62563;-122.36358;MAGNOLIA / QUEEN ANNE;1982;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
KINNEAR VISTA CONDOMINIUM;Multifamily LR (1-4);47.62796;-122.3597;MAGNOLIA / QUEEN ANNE;1975;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
VAL ANNE APTS 48 UNIT;Multifamily LR (1-4);47.62651;-122.35632;MAGNOLIA / QUEEN ANNE;1958;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
900 QUEEN ANNE APARTMENTS;Multifamily LR (1-4);47.62749;-122.35648;MAGNOLIA / QUEEN ANNE;1929;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
MONTANITA APTS;Multifamily LR (1-4);47.62847;-122.35645;MAGNOLIA / QUEEN ANNE;1913;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
FAIRVIEW APTS;Multifamily MR (5-9);47.62828;-122.35635;MAGNOLIA / QUEEN ANNE;1962;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
THE TIKI;Multifamily LR (1-4);47.62855;-122.35713;MAGNOLIA / QUEEN ANNE;1962;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
EDGECLIFF APTS;Multifamily LR (1-4);47.62801;-122.35701;MAGNOLIA / QUEEN ANNE;1948;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
JEM-WEY APARTMENTS;Multifamily MR (5-9);47.62762;-122.35707;MAGNOLIA / QUEEN ANNE;1958;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
26 UNIT;Multifamily LR (1-4);47.628;-122.35769;MAGNOLIA / QUEEN ANNE;1960;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
BUNGALOW APTS & REST/RETAIL;Multifamily LR (1-4);47.62522;-122.35707;MAGNOLIA / QUEEN ANNE;1906;Multifamily LR (1-4);Retail Store;Compliant;No Issue
18 WEST MERCER BUILDING;NonResidential;47.62481;-122.35762;MAGNOLIA / QUEEN ANNE;1984;Office;Office;Compliant;No Issue
DEL ROY APARTMENTS;Multifamily LR (1-4);47.62561;-122.35763;MAGNOLIA / QUEEN ANNE;1914;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
CHANDLER HALL APTS;Multifamily LR (1-4);47.62526;-122.35471;MAGNOLIA / QUEEN ANNE;1924;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
THE QUEENSBOROUGH;Multifamily MR (5-9);47.62657;-122.3584;MAGNOLIA / QUEEN ANNE;1950;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
BEACON VIEW APARTMENT BLDG A;Multifamily LR (1-4);47.588;-122.3177;GREATER DUWAMISH;1968;Multifamily LR (1-4);Multifamily Housing;Not Compliant;Missing 2021 EUI or Electricity Data
3030 LAKE CITY (Building B, C, D, E);Multifamily LR (1-4);47.73357;-122.29501;NORTH;1975;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
MORRISON MANOR APTS 24 UNITS;Multifamily LR (1-4);47.7336;-122.29434;NORTH;1967;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
3030 LAKE CITY (Building A);Multifamily LR (1-4);47.73225;-122.29494;NORTH;1977;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
Jackson Park House & Village;Multifamily LR (1-4);47.73316;-122.29595;NORTH;1970;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
MIRRORWOOD APTS;Multifamily LR (1-4);47.73351;-122.29679;NORTH;1986;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SALTYS RESTAURANT;NonResidential;47.58654;-122.37644;SOUTHWEST;1902;Restaurant;Restaurant;Compliant;No Issue
ALASKA COPPER CO WHSE;NonResidential;47.5746;-122.32637;GREATER DUWAMISH;1952;Distribution Center;Distribution Center;Compliant;No Issue
SEAVIEW CONDOMINIUM;Multifamily LR (1-4);47.62586;-122.36388;MAGNOLIA / QUEEN ANNE;1930;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEAVIEW TERRACE CONDOMINIUM;Multifamily LR (1-4);47.53979;-122.39409;SOUTHWEST;1978;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEDONA COURT CONDOMINIUM;Multifamily LR (1-4);47.71677;-122.31219;NORTH;2000;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SELANO CONDOMINIUM;Multifamily MR (5-9);47.61963;-122.357;MAGNOLIA / QUEEN ANNE;2001;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SENTINEL THE CONDOMINIUM;Multifamily MR (5-9);47.6214;-122.32765;EAST;1966;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SERANA CONDOMINIUMS;Multifamily LR (1-4);47.62514;-122.34784;MAGNOLIA / QUEEN ANNE;1999;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SERRANO ON CALIFORNIA CONDOMINIUM;Multifamily MR (5-9);47.55765;-122.38724;SOUTHWEST;2002;Multifamily MR (5-9);Multifamily Housing;Not Compliant;Portfolio Manager Account Not Shared
714 BELLEVUE AVE E CONDOMINIUM;Multifamily MR (5-9);47.62551;-122.32633;EAST;1981;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SEVEN HIGHLAND DRIVE CONDOMINIUM;Multifamily MR (5-9);47.62933;-122.35628;MAGNOLIA / QUEEN ANNE;1968;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
700 CROCKETT PLACE CONDOMINIUM;Multifamily MR (5-9);47.63781;-122.34421;MAGNOLIA / QUEEN ANNE;1984;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
Capitol Hill Townhomes;Multifamily LR (1-4);47.61701;-122.31171;EAST;1980;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEVENTEEN07;Multifamily LR (1-4);47.61656;-122.32379;EAST;1965;;;Not Compliant;Portfolio Manager Account Not Shared
THORNTON CREEK;Multifamily LR (1-4);47.72048;-122.31233;NORTH;2002;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
WEST COAST SELF-STORAGE;NonResidential;47.57346;-122.37047;SOUTHWEST;2019;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
TOBIRA;Multifamily MR (5-9);47.6015;-122.32722;DOWNTOWN;2001;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
TOSCANO CONDOMINIUM;Multifamily LR (1-4);47.62747;-122.35447;MAGNOLIA / QUEEN ANNE;1999;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
TOWNE TERRACE CONDOMINIUM;Multifamily LR (1-4);47.62741;-122.34577;MAGNOLIA / QUEEN ANNE;1981;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
TRACE LOFTS;Multifamily MR (5-9);47.61323;-122.31641;EAST;2007;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
TRACE NORTH;Multifamily MR (5-9);47.61343;-122.31641;EAST;2007;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
TRAMONTI AT LAKE UNION CONDOMINIUM;Multifamily LR (1-4);47.64786;-122.32378;LAKE UNION;2004;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
TRAUGOTT TERRACE;Multifamily MR (5-9);47.6148;-122.34568;DOWNTOWN;2003;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
THE TRAVELERS HOTEL;NonResidential;47.60195;-122.33516;DOWNTOWN;1913;Mixed Use Property;Multifamily Housing;Compliant;No Issue
ON THE BOARDS;NonResidential;47.62591;-122.35843;MAGNOLIA / QUEEN ANNE;1912;Performing Arts;Performing Arts;Compliant;No Issue
HAMRICK APTS;Multifamily LR (1-4);47.62584;-122.35896;MAGNOLIA / QUEEN ANNE;1947;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
DELAMAR APTS;Multifamily LR (1-4);47.62662;-122.35876;MAGNOLIA / QUEEN ANNE;1909;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
GLEN EDEN APTS;Multifamily LR (1-4);47.62752;-122.35831;MAGNOLIA / QUEEN ANNE;1929;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
OLYMPIC WEST APTS;Multifamily MR (5-9);47.62692;-122.35893;MAGNOLIA / QUEEN ANNE;1970;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
HADLEY HOUSE COOP APTS;Multifamily MR (5-9);47.62747;-122.35961;MAGNOLIA / QUEEN ANNE;1960;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
OLYMPUS MANOR COOP APT;Multifamily LR (1-4);47.627;-122.36028;MAGNOLIA / QUEEN ANNE;1930;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
OLYMPIC ARMS & GRAYSON;Multifamily LR (1-4);47.62643;-122.35956;MAGNOLIA / QUEEN ANNE;1925;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
VIKING APT;Multifamily LR (1-4);47.6261;-122.35953;MAGNOLIA / QUEEN ANNE;1930;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
HALLMARK APTS;Multifamily LR (1-4);47.60304;-122.33362;DOWNTOWN;1946;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
LOW INCOME ELDERLY APT;Multifamily LR (1-4);47.62611;-122.36129;MAGNOLIA / QUEEN ANNE;1985;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
500 WEST OLYMPIC PLACE CO-OP;Multifamily LR (1-4);47.627;-122.36372;MAGNOLIA / QUEEN ANNE;1962;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
CHELSEA COURT APTS;Multifamily LR (1-4);47.62782;-122.36583;MAGNOLIA / QUEEN ANNE;1907;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SKYLINE HOUSE APTS;Multifamily MR (5-9);47.62767;-122.36518;MAGNOLIA / QUEEN ANNE;1955;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
KINNEAR APTS;Multifamily LR (1-4);47.62862;-122.36827;MAGNOLIA / QUEEN ANNE;1907;;;Not Compliant;Portfolio Manager Account Not Shared
HILLCOURT APTS;Multifamily LR (1-4);47.73052;-122.29555;NORTH;1985;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
DEL MAR APTS;Multifamily LR (1-4);47.73108;-122.29422;NORTH;1981;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PARKWAY 1 APARTMENTS;Multifamily MR (5-9);47.73072;-122.29476;NORTH;1968;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
PARKWAY 2 APARTMENTS;Multifamily LR (1-4);47.73082;-122.29418;NORTH;1993;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
HIDDEN STREAMS APARTMENT;Multifamily LR (1-4);47.73014;-122.29514;NORTH;1969;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PROMENADE @ THE PARK APTS;Multifamily MR (5-9);47.73182;-122.29322;NORTH;2003;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SALMON BAY WATERWAY;NonResidential;47.65674;-122.37223;MAGNOLIA / QUEEN ANNE;1957;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
PORT OF SEATTLE- FISHERMAN'S TERMINAL  (CAMPUS);Campus;47.65561;-122.38063;MAGNOLIA / QUEEN ANNE;1955;Mixed Use Property;Self-Storage Facility;Compliant;No Issue
SEVENTY-O-ONE CONDOMINIUM;Multifamily LR (1-4);47.67965;-122.26401;NORTHEAST;1970;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
7300 WOODLAWN AVENUE CONDOMINIUM;Multifamily LR (1-4);47.6815;-122.32507;NORTHWEST;1967;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
J&E APTS;Multifamily LR (1-4);47.53104;-122.26968;SOUTHEAST;1956;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SEWARD PARK TOWNHOMES;Multifamily LR (1-4);47.53647;-122.2688;SOUTHEAST;2006;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SHANNON CONDOMINIUM;Multifamily HR (10+);47.62464;-122.32444;EAST;1970;Multifamily HR (10+);Multifamily Housing;Not Compliant;Account Requires Verification
SHEFFIELD CONDOMINIUM;Multifamily LR (1-4);47.61991;-122.3098;SHARED: CENTRAL & EAST;1929;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SHILSHOLE VIEW CONDOMINIUM;Multifamily LR (1-4);47.67334;-122.40606;BALLARD;1999;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SHIP CANAL OFFICE CENTER;NonResidential;47.65103;-122.35541;LAKE UNION;1989;Office;Office;Compliant;No Issue
THE SIENA CONDOMINIUM;Multifamily MR (5-9);47.62177;-122.35636;MAGNOLIA / QUEEN ANNE;2001;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SIENA DEL LAGO CONDOMINIUM;Multifamily LR (1-4);47.63794;-122.32867;LAKE UNION;1989;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SIGNATURE PLACE CONDOMINIUM;Multifamily LR (1-4);47.6266;-122.35318;MAGNOLIA / QUEEN ANNE;1994;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SITE 17;Multifamily MR (5-9);47.61386;-122.3489;DOWNTOWN;1998;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
AREIS BUILDING;NonResidential;47.64168;-122.32562;LAKE UNION;1959;Office;Office;Compliant;No Issue
2324 EASTLAKE;NonResidential;47.6404;-122.32553;LAKE UNION;1986;Office;Office;Compliant;No Issue
2300 EASTLAKE;NonResidential;47.63995;-122.32557;LAKE UNION;1969;Office;Office;Compliant;No Issue
2345 EASTLAKE;NonResidential;47.64113;-122.32625;LAKE UNION;2000;Office;Office;Compliant;No Issue
STEWART MANOR;Multifamily MR (5-9);47.54539;-122.37544;DELRIDGE NEIGHBORHOODS;1968;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
ALDER CREST APTS.;Multifamily LR (1-4);47.54371;-122.37605;DELRIDGE NEIGHBORHOODS;1977;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SGT JOSE CANGAS, SR. APARTMENTS;Multifamily LR (1-4);47.54733;-122.37377;DELRIDGE NEIGHBORHOODS;2006;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PROVIDENCE ELIZABETH HOUSE;Multifamily LR (1-4);47.54634;-122.37349;DELRIDGE NEIGHBORHOODS;2006;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
BRIDGE PARK HOLIDAY RETIREMENT;Multifamily LR (1-4);47.54542;-122.3734;DELRIDGE NEIGHBORHOODS;2008;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SALVATION ARMY WHITE CENTER COMMUNITY CENTER;NonResidential;47.52172;-122.35487;DELRIDGE NEIGHBORHOODS;1957;Other;Other;Compliant;No Issue
WESTWOOD CHRISTIAN COMMUNITY;NonResidential;47.51989;-122.35489;DELRIDGE NEIGHBORHOODS;1963;Worship Facility;Worship Facility;Compliant;No Issue
HIGHLAND QUEEN ANNE;Multifamily MR (5-9);47.62742;-122.35361;MAGNOLIA / QUEEN ANNE;1963;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
ANNE VISTA APTS;Multifamily LR (1-4);47.58229;-122.40147;SOUTHWEST;1957;;;Not Compliant;Portfolio Manager Account Not Shared
OLD FAUNTLEROY SCHOOLHOUSE;NonResidential;47.5219;-122.38787;SOUTHWEST;1917;Social/Meeting Hall;Social/Meeting Hall;Compliant;No Issue
Fauntleroy Church United Church of Christ;NonResidential;47.52097;-122.38688;SOUTHWEST;1952;Worship Facility;Worship Facility;Compliant;No Issue
STARLITER;Multifamily LR (1-4);47.52481;-122.26961;SOUTHEAST;1962;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
LAKE WASHINGTON APARTMENTS;Multifamily LR (1-4);47.52175;-122.26466;SOUTHEAST;1947;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SAARS MARKETPLACE FOODS;NonResidential;47.52262;-122.26922;SOUTHEAST;1959;Supermarket/Grocery Store;Supermarket/Grocery Store;Compliant;No Issue
NORTH BEACH (SPS-DISTRICT);SPS-District K-12;47.69497;-122.38704;BALLARD;1958;K-12 School;K-12 School;Compliant;No Issue
DOMAINE;Multifamily MR (5-9);47.64163;-122.34634;MAGNOLIA / QUEEN ANNE;2006;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
THE HUDSON;Multifamily LR (1-4);47.64115;-122.34575;MAGNOLIA / QUEEN ANNE;1987;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SALMON BAY TERMINALS - RSVP BLDG;NonResidential;47.65649;-122.37507;MAGNOLIA / QUEEN ANNE;1948;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Not Compliant;Default Data
INTERBAY URBAN CENTER SHOPS;NonResidential;47.63542;-122.37701;MAGNOLIA / QUEEN ANNE;2008;Strip Mall;Strip Mall;Compliant;No Issue
BUILDERS HARDWARE STORE;NonResidential;47.6331;-122.37582;MAGNOLIA / QUEEN ANNE;1931;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
1419 ELLIOTT AVE;NonResidential;47.63063;-122.37428;MAGNOLIA / QUEEN ANNE;1979;Office;Office;Compliant;No Issue
1430-1448 Elliott Ave W;NonResidential;47.63128;-122.37387;MAGNOLIA / QUEEN ANNE;1940;Office;Office;Compliant;No Issue
16TH AVENUE TOWNHOMES CONDOMINIUM;Multifamily LR (1-4);47.60194;-122.31115;CENTRAL;1985;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
TILE FOR LESS;NonResidential;47.58065;-122.33356;GREATER DUWAMISH;1927;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
615 EAST PIKE ST CONDOMINIUM;Multifamily MR (5-9);47.61393;-122.32384;EAST;1999;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
660 WEST OLYMPIC PLACE CONDOMINIUM;Multifamily LR (1-4);47.62812;-122.3665;MAGNOLIA / QUEEN ANNE;2000;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SKANDIA WEST CONDOMINIUM;Multifamily LR (1-4);47.67472;-122.39807;BALLARD;1997;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
WESTSIDE SCHOOL;NonResidential;47.50959;-122.37395;SOUTHWEST;1977;K-12 School;K-12 School;Compliant;No Issue
WALLINGFORD RETAIL AND OFFICE BUILDING;NonResidential;47.66116;-122.34172;LAKE UNION;1916;Office;Office;Compliant;No Issue
Stone Way Apartments;Multifamily LR (1-4);47.66124;-122.34328;LAKE UNION;2006;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
UNIVERSITY HOUSE - WALLINGFORD;Multifamily MR (5-9);47.66032;-122.34149;LAKE UNION;1997;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
HIGHLAND TERRACE CONDOMINIUM;Multifamily LR (1-4);47.69248;-122.30599;NORTH;1979;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
ELSKAN APTS;Multifamily LR (1-4);47.69084;-122.37757;BALLARD;1976;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
HIGHLANDER THE CONDOMINIUM;Multifamily HR (10+);47.62395;-122.32442;EAST;1965;Multifamily HR (10+);Multifamily Housing;Compliant;No Issue
ASTOR COURT;Multifamily LR (1-4);47.62339;-122.31337;EAST;1926;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
ANDREWS APARTMENTS;Multifamily LR (1-4);47.62404;-122.31448;EAST;1910;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
HIGHLANDS NORTH THE CONDOMINIUM;Multifamily LR (1-4);47.69812;-122.32627;NORTH;1984;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
KAWABE MEMORIAL HOUSE;Multifamily HR (10+);47.60042;-122.30931;CENTRAL;1972;Multifamily HR (10+);Multifamily Housing;Compliant;No Issue
SQUIRE PARK PLAZA;Multifamily MR (5-9);47.59942;-122.31001;CENTRAL;2008;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
LEGACY AT PRATT PARK;Multifamily MR (5-9);47.59938;-122.30875;CENTRAL;2008;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
TARA APTS;Multifamily LR (1-4);47.64069;-122.3429;MAGNOLIA / QUEEN ANNE;1964;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
CROWN RIDGE APARTMENTS;Multifamily LR (1-4);47.69069;-122.39256;BALLARD;1991;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
SOUTH SEATTLE INDUSTRIAL PARK - BLDG A;NonResidential;47.56121;-122.33872;GREATER DUWAMISH;1953;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
SOUTH SEATTLE INDUSTRIAL PARK - BLDG B (2014);NonResidential;47.56121;-122.33872;GREATER DUWAMISH;1983;Office;Office;Compliant;No Issue
SOUTH SEATTLE INDUSTRIAL PARK - BLDG C;NonResidential;47.56121;-122.33872;GREATER DUWAMISH;1983;Office;Office;Compliant;No Issue
DIAMOND BUILDING;NonResidential;47.61833;-122.35871;DOWNTOWN;1979;Office;Office;Compliant;No Issue
PIER 57 BAY PAVILION;NonResidential;47.60613;-122.34115;DOWNTOWN;1900;Restaurant;Restaurant;Compliant;No Issue
PIER 56;NonResidential;47.60546;-122.34091;DOWNTOWN;1900;Office;Office;Compliant;No Issue
PIER 55;NonResidential;47.60546;-122.34091;DOWNTOWN;1900;Office;Office;Compliant;No Issue
WM BOOTH CNTR;NonResidential;47.59549;-122.32538;GREATER DUWAMISH;1992;Other - Lodging/Residential;Other - Lodging/Residential;Compliant;No Issue
EVERGREEN TREATMENT SERVICES;NonResidential;47.58802;-122.32111;GREATER DUWAMISH;1914;Medical Office;Medical Office;Compliant;No Issue
THE CHLOE;Multifamily MR (5-9);47.61308;-122.31373;CENTRAL;2009;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
Chloe on Madison Apartments;Multifamily MR (5-9);47.61384;-122.31392;CENTRAL;2019;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
DEARBORN PARK ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.55226;-122.29629;GREATER DUWAMISH;1971;K-12 School;K-12 School;Compliant;No Issue
SONATA AT ALKI CONDOMINIUM;Multifamily MR (5-9);47.58951;-122.39347;SOUTHWEST;1993;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
PETE GROSS HOUSE APTS;Multifamily MR (5-9);47.62374;-122.33338;LAKE UNION;1999;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SOUND VIEW WEST CONDOMINIUM;Multifamily MR (5-9);47.69494;-122.37576;BALLARD;1981;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
SOUNDVIEW RIDGE CONDOMINIUM;Multifamily LR (1-4);47.56198;-122.38978;SOUTHWEST;1995;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
98 UNION CONDOS;Multifamily HR (10+);47.60805;-122.33978;DOWNTOWN;1985;Multifamily HR (10+);Multifamily Housing;Compliant;No Issue
COURTLAND PLACE APARTMENTS;Multifamily MR (5-9);47.57108;-122.2916;SOUTHEAST;2004;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
LONG PAINTING;NonResidential;47.52878;-122.32771;GREATER DUWAMISH;1990;Distribution Center;Distribution Center;Compliant;No Issue
WELLER APTS;Multifamily LR (1-4);47.5977;-122.31124;CENTRAL;1968;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
ST MARY GIDDENS SCHOOL;NonResidential;47.59692;-122.30601;CENTRAL;1922;K-12 School;K-12 School;Not Compliant;Missing 2021 EUI or Electricity Data
